uid,unique_id,boot_num,term,estimate,std.error,statistic,p.value
5_1_0659,5_1,0659,r,0.1273551217790321,0.008786094513298745,14.495077600891472,1.133887881018321e-13
5_1_0660,5_1,0660,K,22658.629419999696,1498.0493093918897,15.12542296034142,4.34483132518899e-14
5_1_0660,5_1,0660,r,0.11621303728519213,0.007173784723380564,16.19968284055617,9.109019480145059e-15
5_1_0661,5_1,0661,K,20387.5039035777,799.165154683967,25.51100205518848,2.0306270271539352e-19
5_1_0661,5_1,0661,r,0.13562143597783458,0.005976687640480077,22.691738992560236,3.3754209533665907e-18
5_1_0662,5_1,0662,K,19997.600211625308,1272.06805409266,15.720542739271275,1.808738411563427e-14
5_1_0662,5_1,0662,r,0.13079955183987607,0.009057848885203753,14.440465224976403,1.2340764321527583e-13
5_1_0663,5_1,0663,K,20420.57298398342,1104.7452604790749,18.484417824185098,4.30076528689893e-16
5_1_0663,5_1,0663,r,0.12549581560575349,0.008402861333247653,14.934890703146966,5.786279464179369e-14
5_1_0664,5_1,0664,K,21781.095856762277,1629.1070561445183,13.36995980381419,6.842336822415638e-13
5_1_0664,5_1,0664,r,0.11874141946208615,0.009066640098120995,13.096518465169316,1.0778473794146334e-12
5_1_0665,5_1,0665,K,21596.390300836258,3212.2394166570257,6.723157118628349,4.793870774750694e-7
5_1_0665,5_1,0665,r,0.12471556719119643,0.010784897346045496,11.563908601960495,1.5816208973518607e-11
5_1_0666,5_1,0666,K,21335.512549819097,1474.3684423760635,14.470950365320626,1.1770692211774573e-13
5_1_0666,5_1,0666,r,0.1297002456359689,0.008412653433050862,15.417281440171358,2.8172166574514598e-14
5_1_0667,5_1,0667,K,20987.091299734984,1379.557558807399,15.212914579568483,3.8129560496390814e-14
5_1_0667,5_1,0667,r,0.12451405164635428,0.008300443121113724,15.000892100522872,5.237847625275092e-14
5_1_0668,5_1,0668,K,19637.461274094196,1400.7079378624398,14.019668728416061,2.3901722573825505e-13
5_1_0668,5_1,0668,r,0.1295094330878953,0.009196703106919314,14.082158745611395,2.164562119093937e-13
5_1_0669,5_1,0669,K,19538.827338350984,998.6352814888719,19.565528777653856,1.134615511661649e-16
5_1_0669,5_1,0669,r,0.13487204986705972,0.006640168406770032,20.31154055212665,4.696022139329759e-17
5_1_0670,5_1,0670,K,21111.026476281637,1653.766488994303,12.76542160986693,1.8868305986760505e-12
5_1_0670,5_1,0670,r,0.12424840596583521,0.009111535476704914,13.636385029010311,4.424475548863477e-13
5_1_0671,5_1,0671,K,20626.65571173501,2250.7672270252574,9.164277613459111,1.8103210493368587e-9
5_1_0671,5_1,0671,r,0.11918613823267306,0.009566517851598818,12.458675150306012,3.2007771690627985e-12
5_1_0672,5_1,0672,K,21358.33972844052,1345.2815674803471,15.876482845478767,1.4441260064918715e-14
5_1_0672,5_1,0672,r,0.12365631916908462,0.009439251461024058,13.100225126926455,1.0711769419414388e-12
5_1_0673,5_1,0673,K,20508.891670191344,768.7769607513678,26.677297470188076,6.899845451768549e-20
5_1_0673,5_1,0673,r,0.13734167522489416,0.005601321092877225,24.519514762247987,5.27337028481457e-19
5_1_0674,5_1,0674,K,22281.167750340333,1590.628204473281,14.007778617076955,2.435786342820255e-13
5_1_0674,5_1,0674,r,0.11530121206600974,0.007907159710974419,14.581874690855447,9.916392406500781e-14
5_1_0675,5_1,0675,K,20307.02622352726,999.1334405318481,20.324638731656943,4.625043154586376e-17
5_1_0675,5_1,0675,r,0.13209294466724145,0.008209055766668276,16.09112526724284,1.0624792511538926e-14
5_1_0676,5_1,0676,K,21604.89154799472,1378.908179850344,15.668114718370552,1.951760184896726e-14
5_1_0676,5_1,0676,r,0.12394424690839616,0.008240878531099125,15.040173986385057,4.937269610972796e-14
5_1_0677,5_1,0677,K,20206.801994183013,1539.9593728746927,13.121646161653157,1.0334556326971983e-12
5_1_0677,5_1,0677,r,0.12334570403966898,0.009506291159167781,12.975165811191832,1.3217320248569858e-12
5_1_0678,5_1,0678,K,21897.23069394229,1828.0893401677715,11.978205995081558,7.4683364714117e-12
5_1_0678,5_1,0678,r,0.1158769074812405,0.008802616731031455,13.163916028826408,9.629978955949919e-13
5_1_0679,5_1,0679,K,20765.89519269643,1294.7202792667429,16.038904715740664,1.1444875300757118e-14
5_1_0679,5_1,0679,r,0.12787334913794432,0.007239685063472645,17.662833122827525,1.2398099211673583e-15
5_1_0680,5_1,0680,K,23437.120063543018,2679.697805412683,8.746180265626489,4.452171710960147e-9
5_1_0680,5_1,0680,r,0.10689097617092627,0.008607448660424049,12.418427386316848,3.4330409641759465e-12
5_1_0681,5_1,0681,K,20799.448680174126,898.1145779707367,23.159014662883955,2.0734805938257676e-18
5_1_0681,5_1,0681,r,0.12575240225440615,0.006965823752398753,18.052768304840043,7.462286574694623e-16
5_1_0682,5_1,0682,K,20839.907316192966,1068.7161877768349,19.499945406033913,1.2278473933844081e-16
5_1_0682,5_1,0682,r,0.13414145992268475,0.006785330238434261,19.769334020452682,8.890294810985078e-17
