unique_id,temperature,rep,cell_density,cell_volume,time_since_innoc_hours,start_time,days
16_2,16,2,20410,975.71,300.0913888888889,2016-11-09  17:51:13,12.503807870370371
16_3,16,3,20551,936.17,300.11861111111114,2016-11-09  17:52:51,12.504942129629631
16_4,16,4,21931,902.31,300.1455555555556,2016-11-09  17:54:28,12.506064814814815
16_5,16,5,17947,901.91,300.17861111111114,2016-11-09  17:56:27,12.50744212962963
25_1,25,1,5074,841.94,300.6480555555556,2016-11-09  18:24:37,12.527002314814816
25_2,25,2,4864,746.42,300.67583333333334,2016-11-09  18:26:17,12.528159722222222
25_3,25,3,6309,918.88,300.7036111111111,2016-11-09  18:27:57,12.52931712962963
25_4,25,4,7632,990.31,300.7297222222222,2016-11-09  18:29:31,12.530405092592593
25_5,25,5,9225,840.37,300.7558333333333,2016-11-09  18:31:05,12.531493055555556
5_1,5,1,2200,668.61,12.092777777777778,2016-10-28  17:51:18,0.5038657407407408
5_1,5,1,2200,495.39,12.092777777777778,2016-10-28  17:51:18,0.5038657407407408
5_5,5,5,2200,689.75,12.180555555555555,2016-10-28  17:56:34,0.5075231481481481
8_1,8,1,2200,715.83,12.245555555555555,2016-10-28  18:00:28,0.5102314814814815
8_5,8,5,2200,685.17,12.293888888888889,2016-10-28  18:03:22,0.5122453703703703
16_1,16,1,2200,638.69,12.863055555555556,2016-10-28  18:37:31,0.5359606481481481
16_5,16,5,2200,626.68,12.903333333333334,2016-10-28  18:39:56,0.5376388888888889
25_1,25,1,2200,708.69,12.964722222222223,2016-10-28  18:43:37,0.5401967592592593
